issue_id,issue_number,repository,stars,language,title,scout_score,priority_score,comments_count,issue_url,created_at
14750,14485,Significant-Gravitas/AutoGPT,181875,Python,Boolean block inputs with surrounding whitespace coerce to False,98.0,0.0,1,https://github.com/Significant-Gravitas/AutoGPT/issues/14485,2026-09-10T06:55:01Z
13106,1142,sunlabuiuc/PyHealth,1478,Python,SyntaxWarning: Invalid escape sequences in calibration.py docstrings,98.0,0.0,0,https://github.com/sunlabuiuc/PyHealth/issues/1142,2026-05-03T18:31:23Z
804340,2009,codecrafters-io/build-your-own-x,467151,Markdown,write you a haskell link broken,95.0,0.0,0,https://github.com/codecrafters-io/build-your-own-x/issues/2009,2026-09-16T12:33:46Z
13960,1370,donnemartin/system-design-primer,335852,Python,Broken Link - Reverse proxy vs load balancer,95.0,0.0,0,https://github.com/donnemartin/system-design-primer/issues/1370,2026-08-11T05:12:06Z
13961,1368,donnemartin/system-design-primer,335852,Python,Broken Link - https://smartbear.com/learn/api-design/what-are-microservices/,95.0,0.0,0,https://github.com/donnemartin/system-design-primer/issues/1368,2026-08-11T05:08:55Z
13962,1364,donnemartin/system-design-primer,335852,Python,Broken Link - NGINX architecture,95.0,0.0,1,https://github.com/donnemartin/system-design-primer/issues/1364,2026-08-06T20:26:09Z
14748,14507,Significant-Gravitas/AutoGPT,181875,Python,"Frontend testing guide recommends toBeInTheDocument, but jest-dom is not installed",95.0,0.0,1,https://github.com/Significant-Gravitas/AutoGPT/issues/14507,2026-09-10T19:11:22Z
406026,11904,shadcn-ui/ui,106898,TypeScript,Progress drops value before Root: bar is indeterminate for assistive tech,95.0,0.0,2,https://github.com/shadcn-ui/ui/issues/11904,2026-09-14T23:20:44Z
15269,29315,google-gemini/gemini-cli,94858,TypeScript,"bug(a2a-server): express.json registered after A2A routes, req.body undefined",95.0,0.0,0,https://github.com/google-gemini/gemini-cli/issues/29315,2026-09-13T13:07:41Z
13578,25827,twentyhq/twenty,39837,TypeScript,"Workflow SELECT filter `IS`/`IS_NOT` does substring match, not equality (trigger & IF_ELSE)",95.0,0.0,2,https://github.com/twentyhq/twenty/issues/25827,2026-09-12T08:02:44Z
14560,1080,DavidHDev/react-bits,35925,JavaScript,[BUG]: GlassSurface Tailwind JS variant crashes - TS generics in .jsx (useRef < HTMLDivElement > null),95.0,0.0,0,https://github.com/DavidHDev/react-bits/issues/1080,2026-09-13T14:48:33Z
15034,14654,onyx-dot-app/onyx,17485,Python,Delete unused handleFederatedOAuthCallback and uploadFilesForChat,95.0,0.0,0,https://github.com/onyx-dot-app/onyx/issues/14654,2026-09-11T20:18:26Z
15927,725,wasp-lang/open-saas,13403,TypeScript,opensaas.sh landing page: Review Radar example links to an expired domain,95.0,0.0,0,https://github.com/wasp-lang/open-saas/issues/725,2026-09-11T13:06:21Z
12852,7412,adenhq/hive,7914,Python,[Bug]: excel_sql blocks normal SELECT queries when a column name contains a keyword,95.0,0.0,3,https://github.com/adenhq/hive/issues/7412,2026-09-05T11:39:01Z
14803,243,Snouzy/workout-cool,7095,TypeScript,Bug: Home page OG/Twitter image broken for zh-CN locale (missing zh-CN→zh filename mapping),95.0,0.0,0,https://github.com/Snouzy/workout-cool/issues/243,2026-07-07T17:26:27Z
14807,236,Snouzy/workout-cool,7095,TypeScript,Bug: NEXT_PUBLIC_BOTTOM_BMI_BANNER_AD_SLOT reads the TOP env var (copy/paste),95.0,0.0,0,https://github.com/Snouzy/workout-cool/issues/236,2026-07-07T16:42:08Z
15091,241,pshenok/server-survival,5419,JavaScript,it.js: INFERENZA vs INFERENCE and mixed-language level-title citations,95.0,0.0,0,https://github.com/pshenok/server-survival/issues/241,2026-08-05T19:22:03Z
15758,34,MTrajK/coding-problems,3364,Python,Docstring title and output explanation contradict the problem in find_el_where_k_greater_or_equal.py,95.0,0.0,0,https://github.com/MTrajK/coding-problems/issues/34,2026-07-04T06:16:13Z
405870,2744,frappe/lms,2730,Vue,"Getting started: ""Add your first chapter"" and ""Add your first lesson"" open course Settings instead of Course editor",95.0,0.0,0,https://github.com/frappe/lms/issues/2744,2026-09-15T07:17:31Z
408547,6177,make-all/tuya-local,2716,Python,EM3390TF weather station: missing product id 6ukjrcnwibr0mdbk,95.0,0.0,0,https://github.com/make-all/tuya-local/issues/6177,2026-09-14T17:34:00Z
12878,10508,medplum/medplum,2187,TypeScript,Two Home page links in `foomedical` navigate to routes that don't exist,95.0,0.0,1,https://github.com/medplum/medplum/issues/10508,2026-09-11T16:56:38Z
13100,1171,sunlabuiuc/PyHealth,1478,Python,fix: replace bare open() calls with context managers in cardiology_detect.py,95.0,0.0,0,https://github.com/sunlabuiuc/PyHealth/issues/1171,2026-07-01T19:14:10Z
14692,3393,input-output-hk/daedalus,1245,TypeScript,[FEATURE] Give the selected DRep name an explicit color on the voting power delegation screen,95.0,0.0,0,https://github.com/input-output-hk/daedalus/issues/3393,2026-08-30T14:12:38Z
14619,2576,scikit-bio/scikit-bio,1160,Python,"Please explicitly specify mode=""rb"" in GzipCompressor.get_reader",95.0,0.0,0,https://github.com/scikit-bio/scikit-bio/issues/2576,2026-09-09T12:07:28Z
803069,7537,ariakit/ariakit,8530,TypeScript,Treat an empty aria-current value as not current in ui-selected,93.0,0.0,0,https://github.com/ariakit/ariakit/issues/7537,2026-09-16T07:25:24Z
