repo_id,full_name,stars,forks,open_issues,language,combined_score,social_impact_score,need_score,kindness_score,popularity_score,url
1386,type-challenges/type-challenges,47679,5212,33034,TypeScript,0.4167,0.0,1.0,0.05,0.7712,https://github.com/type-challenges/type-challenges
1632,llvm/llvm-project,37008,16190,28108,LLVM,0.3844,0.0,0.8509,0.05,0.7961,https://github.com/llvm/llvm-project
14714,openemr/openemr,4997,2770,541,PHP,0.3452,0.6667,0.0161,0.05,0.6434,https://github.com/openemr/openemr
308,a11yproject/a11yproject.com,3850,571,63,Nunjucks,0.3298,0.6667,0.0019,0.05,0.5842,https://github.com/a11yproject/a11yproject.com
54704,ifmeorg/ifme,1608,767,28,Ruby,0.3234,0.6667,0.0008,0.05,0.5535,https://github.com/ifmeorg/ifme
47988,protontypes/open-sustainable-technology,2457,305,59,,0.3216,0.6667,0.0019,0.05,0.543,https://github.com/protontypes/open-sustainable-technology
70797,classroomio/classroomio,1465,292,9,Svelte,0.316,0.6667,0.0002,0.05,0.5171,https://github.com/classroomio/classroomio
70906,CaviraOSS/PageLM,1494,204,5,TypeScript,0.3134,0.6667,0.0001,0.05,0.5042,https://github.com/CaviraOSS/PageLM
158,pytorch/pytorch,97576,26907,16067,Python,0.3055,0.0,0.4864,0.05,0.857,https://github.com/pytorch/pytorch
296,dequelabs/axe-core,6923,869,413,JavaScript,0.3005,0.5333,0.0124,0.05,0.6245,https://github.com/dequelabs/axe-core
1606,FreeCodeCampChina/freecodecamp.cn,37639,1411,142,CSS,0.2972,0.4667,0.0043,0.05,0.7181,https://github.com/FreeCodeCampChina/freecodecamp.cn
61679,brunopulis/awesome-a11y,1944,154,0,,0.2943,0.6,0.0,0.05,0.5089,https://github.com/brunopulis/awesome-a11y
56755,iiab/iiab,1776,123,305,Jinja,0.2942,0.6,0.0092,0.05,0.4971,https://github.com/iiab/iiab
305,pa11y/pa11y,4411,290,35,JavaScript,0.2865,0.5333,0.0011,0.05,0.5686,https://github.com/pa11y/pa11y
1854,frappe/erpnext,32110,10591,1954,Python,0.2822,0.3333,0.0586,0.05,0.7751,https://github.com/frappe/erpnext
200,flutter/flutter,175256,30012,12167,Dart,0.2821,0.0,0.3683,0.05,0.8875,https://github.com/flutter/flutter
7,godotengine/godot,106837,24372,12940,C++,0.282,0.0,0.3917,0.05,0.858,https://github.com/godotengine/godot
281,tailwindlabs/headlessui,28434,1193,74,TypeScript,0.273,0.4,0.0022,0.05,0.6997,https://github.com/tailwindlabs/headlessui
75580,pa11y/pa11y-dashboard,1067,215,26,JavaScript,0.2715,0.5333,0.0008,0.05,0.4938,https://github.com/pa11y/pa11y-dashboard
76817,incluud/accessible-astro-starter,1126,200,7,Astro,0.2712,0.5333,0.0002,0.05,0.4931,https://github.com/incluud/accessible-astro-starter
286,bootstrap-vue/bootstrap-vue,14479,1863,177,JavaScript,0.2705,0.4,0.0054,0.05,0.6833,https://github.com/bootstrap-vue/bootstrap-vue
13839,PetoiCamp/OpenCat-Quadruped-Robot,4660,545,5,C++,0.2705,0.4667,0.0002,0.05,0.59,https://github.com/PetoiCamp/OpenCat-Quadruped-Robot
15633,kakoni/awesome-healthcare,3673,473,4,,0.2675,0.4667,0.0001,0.05,0.5751,https://github.com/kakoni/awesome-healthcare
655,f/prompts.chat,145552,19195,3,HTML,0.2654,0.2667,0.0001,0.05,0.8645,https://github.com/f/prompts.chat
681,rust-lang/rust,110507,14509,11092,Rust,0.265,0.0,0.3358,0.05,0.8428,https://github.com/rust-lang/rust
47519,carekit-apple/CareKit,2501,457,81,Swift,0.2646,0.4667,0.0025,0.05,0.5573,https://github.com/carekit-apple/CareKit
618,EbookFoundation/free-programming-books,383728,66011,36,Python,0.2625,0.2,0.0011,0.05,0.9487,https://github.com/EbookFoundation/free-programming-books
62829,sakaiproject/sakai,1204,1005,0,Java,0.2623,0.4667,0.0,0.05,0.549,https://github.com/sakaiproject/sakai
7191,MiCode/Xiaomi_Kernel_OpenSource,9417,3632,14491,,0.2592,0.0,0.4387,0.05,0.685,https://github.com/MiCode/Xiaomi_Kernel_OpenSource
2665,TheAlgorithms/C,21778,4732,6,C,0.2589,0.3333,0.0002,0.05,0.7319,https://github.com/TheAlgorithms/C
2767,elastic/kibana,20983,8538,0,TypeScript,0.2586,0.0,0.385,0.05,0.7492,https://github.com/elastic/kibana
490,ocornut/imgui,71432,11554,1037,C++,0.2584,0.0,0.0314,0.35,0.8154,https://github.com/ocornut/imgui
230,ggml-org/llama.cpp,95365,14969,410,C++,0.258,0.0,0.0124,0.35,0.8371,https://github.com/ggml-org/llama.cpp
280,gkd-kit/gkd,36609,1776,10,Kotlin,0.2572,0.3333,0.0003,0.05,0.7232,https://github.com/gkd-kit/gkd
6355,digitalinnovationone/dio-lab-open-source,8479,60276,6637,Jupyter Notebook,0.2569,0.1333,0.2009,0.05,0.7708,https://github.com/digitalinnovationone/dio-lab-open-source
628,TheAlgorithms/Python,218411,50124,163,Python,0.2565,0.2,0.0048,0.05,0.914,https://github.com/TheAlgorithms/Python
45829,Flaque/quirk,2266,3555,4,TypeScript,0.2563,0.4,0.0001,0.05,0.6189,https://github.com/Flaque/quirk
